model,metric,dataset,slope,p_val
eurollm,XComet-XCOMET-XXL,wmt14_ruen,-0.030569617860628166,0.2504741291241753
eurollm,metricx-metricx-24-hybrid-large-v2p6,wmt14_ruen,-0.05766990886823249,0.0010340508370602196
eurollm,Comet-wmt22-comet-da,wmt19_ruen,-0.03429565773044742,0.002816475404183545
eurollm,XComet-XCOMET-XXL,wmt19_ruen,0.13522572154313128,1.8828376376400386e-11
eurollm,metricx-metricx-24-hybrid-large-v2p6,wmt19_ruen,0.04857690235890261,0.0001301749493053088
eurollm,Comet-wmt22-comet-da,wmt19_fien,0.006602632916257238,0.6480736091462457
eurollm,XComet-XCOMET-XXL,wmt19_fien,0.16997387932919578,1.530036161385043e-14
eurollm,metricx-metricx-24-hybrid-large-v2p6,wmt19_fien,0.10381354154290452,1.0766333400944115e-10
eurollm,Comet-wmt22-comet-da,wmt19_deen,-0.1564496890490728,1.873091147463815e-24
eurollm,XComet-XCOMET-XXL,wmt19_deen,-0.09551916749497356,1.366746156006272e-07
eurollm,metricx-metricx-24-hybrid-large-v2p6,wmt19_deen,-0.05011197456957875,0.00015322000504914096
eurollm,Comet-wmt22-comet-da,wmt19_lten,-0.026959935364630688,0.053329627830914064
eurollm,XComet-XCOMET-XXL,wmt19_lten,0.15602568054834634,5.616706160409956e-12
eurollm,metricx-metricx-24-hybrid-large-v2p6,wmt19_lten,0.02605992023381341,0.07761377984572057
