Metric,Dataset,Model,Method,ScoreType,Score
XComet XXL,wmt19_lten,EuroLLM 9B,MSP,Detrended,0.3428388096463065
XComet XXL,wmt19_lten,EuroLLM 9B,PPL,Raw,0.33093575357351634
XComet XXL,wmt19_lten,EuroLLM 9B,PPL,Detrended,0.35092082182935197
XComet XXL,wmt19_lten,EuroLLM 9B,MTE,Raw,0.38576162370850386
XComet XXL,wmt19_lten,EuroLLM 9B,MTE,Detrended,0.3898368355649422
XComet XXL,wmt19_lten,EuroLLM 9B,MCSE,Raw,0.07966278203855363
XComet XXL,wmt19_lten,EuroLLM 9B,MCSE,Detrended,0.34498956474654185
XComet XXL,wmt19_lten,EuroLLM 9B,MCNSE,Raw,0.22494288899372542
XComet XXL,wmt19_lten,EuroLLM 9B,MCNSE,Detrended,0.25648287213853244
XComet XXL,wmt19_lten,EuroLLM 9B,LSRL,Raw,0.1809887016738711
XComet XXL,wmt19_lten,EuroLLM 9B,LSRL,Detrended,0.21239031877815812
XComet XXL,wmt19_ruen,EuroLLM 9B,MSP,Raw,0.3551658094709073
XComet XXL,wmt19_ruen,EuroLLM 9B,MSP,Detrended,0.32873645468844626
XComet XXL,wmt19_ruen,EuroLLM 9B,PPL,Raw,0.31387934880078583
XComet XXL,wmt19_ruen,EuroLLM 9B,PPL,Detrended,0.27761632727226243
XComet XXL,wmt19_ruen,EuroLLM 9B,MTE,Raw,0.3222042364617473
XComet XXL,wmt19_ruen,EuroLLM 9B,MTE,Detrended,0.32474437829306363
XComet XXL,wmt19_ruen,EuroLLM 9B,MCSE,Raw,0.33678585708259895
XComet XXL,wmt19_ruen,EuroLLM 9B,MCSE,Detrended,0.2872121865540175
XComet XXL,wmt19_ruen,EuroLLM 9B,MCNSE,Raw,0.21204330485697737
XComet XXL,wmt19_ruen,EuroLLM 9B,MCNSE,Detrended,0.20516231944184798
XComet XXL,wmt19_ruen,EuroLLM 9B,LSRL,Raw,0.18381014807763998
XComet XXL,wmt19_ruen,EuroLLM 9B,LSRL,Detrended,0.16857270691435206
MetricX-XXL,wmt14_csen,EuroLLM 9B,MSP,Raw,0.12700382512990865
MetricX-XXL,wmt14_csen,EuroLLM 9B,MSP,Detrended,0.3727254203836544
MetricX-XXL,wmt14_csen,EuroLLM 9B,PPL,Raw,0.5116119290639901
MetricX-XXL,wmt14_csen,EuroLLM 9B,PPL,Detrended,0.5144442571605241
MetricX-XXL,wmt14_csen,EuroLLM 9B,MTE,Raw,0.5410824113990269
MetricX-XXL,wmt14_csen,EuroLLM 9B,MTE,Detrended,0.5481009268712707
MetricX-XXL,wmt14_csen,EuroLLM 9B,MCSE,Raw,0.19992344902846323
MetricX-XXL,wmt14_csen,EuroLLM 9B,MCSE,Detrended,0.4248432456080746
MetricX-XXL,wmt14_csen,EuroLLM 9B,MCNSE,Raw,0.23039019928848517
MetricX-XXL,wmt14_csen,EuroLLM 9B,MCNSE,Detrended,0.22040933666215812
MetricX-XXL,wmt14_csen,EuroLLM 9B,LSRL,Raw,0.289369388576396
MetricX-XXL,wmt14_csen,EuroLLM 9B,LSRL,Detrended,0.2929040320036948
MetricX-XXL,wmt14_deen,EuroLLM 9B,MSP,Raw,0.22559679349277145
MetricX-XXL,wmt14_deen,EuroLLM 9B,MSP,Detrended,0.44680662275304217
MetricX-XXL,wmt14_deen,EuroLLM 9B,PPL,Raw,0.521115545177528
MetricX-XXL,wmt14_deen,EuroLLM 9B,PPL,Detrended,0.5283931792810119
MetricX-XXL,wmt14_deen,EuroLLM 9B,MTE,Raw,0.5369597833860931
MetricX-XXL,wmt14_deen,EuroLLM 9B,MTE,Detrended,0.5466470622230164
MetricX-XXL,wmt14_deen,EuroLLM 9B,MCSE,Raw,0.236851242847467
MetricX-XXL,wmt14_deen,EuroLLM 9B,MCSE,Detrended,0.4220890117484372
MetricX-XXL,wmt14_deen,EuroLLM 9B,MCNSE,Raw,0.33004206525243474
MetricX-XXL,wmt14_deen,EuroLLM 9B,MCNSE,Detrended,0.3275380090897962
MetricX-XXL,wmt14_deen,EuroLLM 9B,LSRL,Raw,0.34015992057012756
MetricX-XXL,wmt14_deen,EuroLLM 9B,LSRL,Detrended,0.34208618662091445
MetricX-XXL,wmt14_ruen,EuroLLM 9B,MSP,Raw,0.29687118150047254
MetricX-XXL,wmt14_ruen,EuroLLM 9B,MSP,Detrended,0.3917393393274681
MetricX-XXL,wmt14_ruen,EuroLLM 9B,PPL,Raw,0.45357522426002017
MetricX-XXL,wmt14_ruen,EuroLLM 9B,PPL,Detrended,0.37462375284591404
MetricX-XXL,wmt14_ruen,EuroLLM 9B,MTE,Raw,0.4767313544208524
MetricX-XXL,wmt14_ruen,EuroLLM 9B,MTE,Detrended,0.396479987573355
MetricX-XXL,wmt14_ruen,EuroLLM 9B,MCSE,Raw,0.2827704342387031
MetricX-XXL,wmt14_ruen,EuroLLM 9B,MCSE,Detrended,0.3416261595239535
MetricX-XXL,wmt14_ruen,EuroLLM 9B,MCNSE,Raw,0.29455956145409207
MetricX-XXL,wmt14_ruen,EuroLLM 9B,MCNSE,Detrended,0.2680491323579197
MetricX-XXL,wmt14_ruen,EuroLLM 9B,LSRL,Raw,0.29955553355961073
MetricX-XXL,wmt14_ruen,EuroLLM 9B,LSRL,Detrended,0.29143971746233677
MetricX-XXL,wmt14_fren,EuroLLM 9B,MSP,Raw,0.11109451574567548
MetricX-XXL,wmt14_fren,EuroLLM 9B,MSP,Detrended,0.27943678659878957
MetricX-XXL,wmt14_fren,EuroLLM 9B,PPL,Raw,0.4149389881059363
MetricX-XXL,wmt14_fren,EuroLLM 9B,PPL,Detrended,0.41877373542175134
MetricX-XXL,wmt14_fren,EuroLLM 9B,MTE,Raw,0.45554973110456354
MetricX-XXL,wmt14_fren,EuroLLM 9B,MTE,Detrended,0.46441965502689
MetricX-XXL,wmt14_fren,EuroLLM 9B,MCSE,Raw,0.16435274546200884
MetricX-XXL,wmt14_fren,EuroLLM 9B,MCSE,Detrended,0.3687950462333661
MetricX-XXL,wmt14_fren,EuroLLM 9B,MCNSE,Raw,0.22250682012306594
MetricX-XXL,wmt14_fren,EuroLLM 9B,MCNSE,Detrended,0.21750731436028875
MetricX-XXL,wmt14_fren,EuroLLM 9B,LSRL,Raw,0.27188604643743913
MetricX-XXL,wmt14_fren,EuroLLM 9B,LSRL,Detrended,0.2732618400978166
MetricX-XXL,wmt19_deen,EuroLLM 9B,MSP,Raw,0.23033400228495907
MetricX-XXL,wmt19_deen,EuroLLM 9B,MSP,Detrended,0.3832090360178152
MetricX-XXL,wmt19_deen,EuroLLM 9B,PPL,Raw,0.4806841454780032
MetricX-XXL,wmt19_deen,EuroLLM 9B,PPL,Detrended,0.4864085020017504
MetricX-XXL,wmt19_deen,EuroLLM 9B,MTE,Raw,0.49780141610962986
MetricX-XXL,wmt19_deen,EuroLLM 9B,MTE,Detrended,0.5147701059243521
MetricX-XXL,wmt19_deen,EuroLLM 9B,MCSE,Raw,0.24741341516879606
MetricX-XXL,wmt19_deen,EuroLLM 9B,MCSE,Detrended,0.3832364464799144
MetricX-XXL,wmt19_deen,EuroLLM 9B,MCNSE,Raw,0.27595361353762804
MetricX-XXL,wmt19_deen,EuroLLM 9B,MCNSE,Detrended,0.24549965690347972
MetricX-XXL,wmt19_deen,EuroLLM 9B,LSRL,Raw,0.3057177435877247
MetricX-XXL,wmt19_deen,EuroLLM 9B,LSRL,Detrended,0.2976040781139192
MetricX-XXL,wmt19_fien,EuroLLM 9B,MSP,Raw,0.040943163845878386
