Metric,Dataset,Model,Method,ScoreType,Score
XComet XXL,wmt19_fien,Llama 3.1 8B,LSRL,Detrended,0.33019380990710545
XComet XXL,wmt19_lten,Llama 3.1 8B,MSP,Raw,0.14660693483774415
XComet XXL,wmt19_lten,Llama 3.1 8B,MSP,Detrended,0.3803940708525509
XComet XXL,wmt19_lten,Llama 3.1 8B,PPL,Raw,0.4887982912856121
XComet XXL,wmt19_lten,Llama 3.1 8B,PPL,Detrended,0.483012784046942
XComet XXL,wmt19_lten,Llama 3.1 8B,MTE,Raw,0.5322864271815366
XComet XXL,wmt19_lten,Llama 3.1 8B,MTE,Detrended,0.5202540078500302
XComet XXL,wmt19_lten,Llama 3.1 8B,MCSE,Raw,0.06280368085235934
XComet XXL,wmt19_lten,Llama 3.1 8B,MCSE,Detrended,0.27573547660264225
XComet XXL,wmt19_lten,Llama 3.1 8B,MCNSE,Raw,0.42536487890729313
XComet XXL,wmt19_lten,Llama 3.1 8B,MCNSE,Detrended,0.42459964651121107
XComet XXL,wmt19_lten,Llama 3.1 8B,LSRL,Raw,0.3249304169482541
XComet XXL,wmt19_lten,Llama 3.1 8B,LSRL,Detrended,0.33573516305943907
XComet XXL,wmt19_ruen,Llama 3.1 8B,MSP,Raw,0.37085607515968877
XComet XXL,wmt19_ruen,Llama 3.1 8B,MSP,Detrended,0.3361685087378898
XComet XXL,wmt19_ruen,Llama 3.1 8B,PPL,Raw,0.2720063442000522
XComet XXL,wmt19_ruen,Llama 3.1 8B,PPL,Detrended,0.4166192634299471
XComet XXL,wmt19_ruen,Llama 3.1 8B,MTE,Raw,0.3167900644671561
XComet XXL,wmt19_ruen,Llama 3.1 8B,MTE,Detrended,0.5121059666459398
XComet XXL,wmt19_ruen,Llama 3.1 8B,MCSE,Raw,0.30524698622647267
XComet XXL,wmt19_ruen,Llama 3.1 8B,MCSE,Detrended,0.27823673568486523
XComet XXL,wmt19_ruen,Llama 3.1 8B,MCNSE,Raw,0.322428976394008
XComet XXL,wmt19_ruen,Llama 3.1 8B,MCNSE,Detrended,0.40053161414090854
XComet XXL,wmt19_ruen,Llama 3.1 8B,LSRL,Raw,0.2970675247412659
XComet XXL,wmt19_ruen,Llama 3.1 8B,LSRL,Detrended,0.3312062593160931
XComet XXL,wmt14_csen,Gemma 2 9B,MSP,Raw,0.20305278975781113
XComet XXL,wmt14_csen,Gemma 2 9B,MSP,Detrended,0.2934352357561565
XComet XXL,wmt14_csen,Gemma 2 9B,PPL,Raw,0.31761426903116324
XComet XXL,wmt14_csen,Gemma 2 9B,PPL,Detrended,0.33021051206369
XComet XXL,wmt14_csen,Gemma 2 9B,MTE,Raw,0.3459567441101621
XComet XXL,wmt14_csen,Gemma 2 9B,MTE,Detrended,0.3701072421684996
XComet XXL,wmt14_csen,Gemma 2 9B,MCSE,Raw,0.1472689925721333
XComet XXL,wmt14_csen,Gemma 2 9B,MCSE,Detrended,0.22994375020211424
XComet XXL,wmt14_csen,Gemma 2 9B,MCNSE,Raw,0.2778769453675052
XComet XXL,wmt14_csen,Gemma 2 9B,MCNSE,Detrended,0.27533604080606855
XComet XXL,wmt14_csen,Gemma 2 9B,LSRL,Raw,0.2603731807893013
XComet XXL,wmt14_csen,Gemma 2 9B,LSRL,Detrended,0.24530524413962668
XComet XXL,wmt14_deen,Gemma 2 9B,MSP,Raw,0.35407566799380386
XComet XXL,wmt14_deen,Gemma 2 9B,MSP,Detrended,0.38267130461056337
XComet XXL,wmt14_deen,Gemma 2 9B,PPL,Raw,0.33800115250731944
XComet XXL,wmt14_deen,Gemma 2 9B,PPL,Detrended,0.36689161417432115
XComet XXL,wmt14_deen,Gemma 2 9B,MTE,Raw,0.3266780871269261
XComet XXL,wmt14_deen,Gemma 2 9B,MTE,Detrended,0.3828970840599332
XComet XXL,wmt14_deen,Gemma 2 9B,MCSE,Raw,0.2982886683967705
XComet XXL,wmt14_deen,Gemma 2 9B,MCSE,Detrended,0.3234806895432507
XComet XXL,wmt14_deen,Gemma 2 9B,MCNSE,Raw,0.33620367207037416
XComet XXL,wmt14_deen,Gemma 2 9B,MCNSE,Detrended,0.33276239392385304
XComet XXL,wmt14_deen,Gemma 2 9B,LSRL,Raw,0.2998277438684456
XComet XXL,wmt14_deen,Gemma 2 9B,LSRL,Detrended,0.28431749340812396
XComet XXL,wmt14_ruen,Gemma 2 9B,MSP,Raw,0.3909444623413618
XComet XXL,wmt14_ruen,Gemma 2 9B,MSP,Detrended,0.38220342405731567
XComet XXL,wmt14_ruen,Gemma 2 9B,PPL,Raw,0.2924038713492618
XComet XXL,wmt14_ruen,Gemma 2 9B,PPL,Detrended,0.4481441614349548
XComet XXL,wmt14_ruen,Gemma 2 9B,MTE,Raw,0.28594373836647013
XComet XXL,wmt14_ruen,Gemma 2 9B,MTE,Detrended,0.4757122991395496
XComet XXL,wmt14_ruen,Gemma 2 9B,MCSE,Raw,0.3377069743462151
XComet XXL,wmt14_ruen,Gemma 2 9B,MCSE,Detrended,0.34077783284551166
XComet XXL,wmt14_ruen,Gemma 2 9B,MCNSE,Raw,0.3255931763494626
XComet XXL,wmt14_ruen,Gemma 2 9B,MCNSE,Detrended,0.4010768150640309
XComet XXL,wmt14_ruen,Gemma 2 9B,LSRL,Raw,0.3032637870373473
XComet XXL,wmt14_ruen,Gemma 2 9B,LSRL,Detrended,0.38269856040798106
XComet XXL,wmt14_fren,Gemma 2 9B,MSP,Raw,0.27432676009771245
XComet XXL,wmt14_fren,Gemma 2 9B,MSP,Detrended,0.2916149654692624
XComet XXL,wmt14_fren,Gemma 2 9B,PPL,Raw,0.25123255215229445
XComet XXL,wmt14_fren,Gemma 2 9B,PPL,Detrended,0.30405845379218394
XComet XXL,wmt14_fren,Gemma 2 9B,MTE,Raw,0.2547176138694805
XComet XXL,wmt14_fren,Gemma 2 9B,MTE,Detrended,0.34251756751415213
XComet XXL,wmt14_fren,Gemma 2 9B,MCSE,Raw,0.2642390719774707
XComet XXL,wmt14_fren,Gemma 2 9B,MCSE,Detrended,0.25759979295655905
XComet XXL,wmt14_fren,Gemma 2 9B,MCNSE,Raw,0.2469436306212345
XComet XXL,wmt14_fren,Gemma 2 9B,MCNSE,Detrended,0.27172606257972215
XComet XXL,wmt14_fren,Gemma 2 9B,LSRL,Raw,0.2041407784711054
XComet XXL,wmt14_fren,Gemma 2 9B,LSRL,Detrended,0.19367474202279517
XComet XXL,wmt19_deen,Gemma 2 9B,MSP,Raw,0.3435827600727535
XComet XXL,wmt19_deen,Gemma 2 9B,MSP,Detrended,0.37659335100265995
XComet XXL,wmt19_deen,Gemma 2 9B,PPL,Raw,0.33055658586122993
XComet XXL,wmt19_deen,Gemma 2 9B,PPL,Detrended,0.3467474779638654
XComet XXL,wmt19_deen,Gemma 2 9B,MTE,Raw,0.32112895186564333
XComet XXL,wmt19_deen,Gemma 2 9B,MTE,Detrended,0.36999993099089334
XComet XXL,wmt19_deen,Gemma 2 9B,MCSE,Raw,0.2747004497477272
XComet XXL,wmt19_deen,Gemma 2 9B,MCSE,Detrended,0.3331950182314506
XComet XXL,wmt19_deen,Gemma 2 9B,MCNSE,Raw,0.31780321683931717
XComet XXL,wmt19_deen,Gemma 2 9B,MCNSE,Detrended,0.3307407559042026
XComet XXL,wmt19_deen,Gemma 2 9B,LSRL,Raw,0.27763536185733556
XComet XXL,wmt19_deen,Gemma 2 9B,LSRL,Detrended,0.2618393780986261
XComet XXL,wmt19_fien,Gemma 2 9B,MSP,Raw,0.0011029986748285069
XComet XXL,wmt19_fien,Gemma 2 9B,MSP,Detrended,0.2866390015940686
XComet XXL,wmt19_fien,Gemma 2 9B,PPL,Raw,0.37275884522611663
XComet XXL,wmt19_fien,Gemma 2 9B,PPL,Detrended,0.3719753840038887
XComet XXL,wmt19_fien,Gemma 2 9B,MTE,Raw,0.4152822021226535
XComet XXL,wmt19_fien,Gemma 2 9B,MTE,Detrended,0.4025237261881218
XComet XXL,wmt19_fien,Gemma 2 9B,MCSE,Raw,-0.06962059485859162
XComet XXL,wmt19_fien,Gemma 2 9B,MCSE,Detrended,0.19762179277045044
XComet XXL,wmt19_fien,Gemma 2 9B,MCNSE,Raw,0.288065084017937
XComet XXL,wmt19_fien,Gemma 2 9B,MCNSE,Detrended,0.28900858813815933
XComet XXL,wmt19_fien,Gemma 2 9B,LSRL,Raw,0.2916635330866386
XComet XXL,wmt19_fien,Gemma 2 9B,LSRL,Detrended,0.3158667598618649
XComet XXL,wmt19_lten,Gemma 2 9B,MSP,Raw,0.14712441032203508
XComet XXL,wmt19_lten,Gemma 2 9B,MSP,Detrended,0.21676280665477948
XComet XXL,wmt19_lten,Gemma 2 9B,PPL,Raw,0.2809295613709195
XComet XXL,wmt19_lten,Gemma 2 9B,PPL,Detrended,0.2839148315006509
XComet XXL,wmt19_lten,Gemma 2 9B,MTE,Raw,0.29375108592832755
XComet XXL,wmt19_lten,Gemma 2 9B,MTE,Detrended,0.3097465636453655
XComet XXL,wmt19_lten,Gemma 2 9B,MCSE,Raw,0.08846689585202154
XComet XXL,wmt19_lten,Gemma 2 9B,MCSE,Detrended,0.11688329712393233
XComet XXL,wmt19_lten,Gemma 2 9B,MCNSE,Raw,0.18570671994349744
XComet XXL,wmt19_lten,Gemma 2 9B,MCNSE,Detrended,0.18554995286183315
XComet XXL,wmt19_lten,Gemma 2 9B,LSRL,Raw,0.186280277420674
XComet XXL,wmt19_lten,Gemma 2 9B,LSRL,Detrended,0.1639575179000452
XComet XXL,wmt19_ruen,Gemma 2 9B,MSP,Raw,0.3494392744003449
XComet XXL,wmt19_ruen,Gemma 2 9B,MSP,Detrended,0.3349752974226339
XComet XXL,wmt19_ruen,Gemma 2 9B,PPL,Raw,0.27282370990785176
XComet XXL,wmt19_ruen,Gemma 2 9B,PPL,Detrended,0.32799052691518427
XComet XXL,wmt19_ruen,Gemma 2 9B,MTE,Raw,0.27127584098233554
XComet XXL,wmt19_ruen,Gemma 2 9B,MTE,Detrended,0.37434672167408917
XComet XXL,wmt19_ruen,Gemma 2 9B,MCSE,Raw,0.32321841726971035
XComet XXL,wmt19_ruen,Gemma 2 9B,MCSE,Detrended,0.32466481470318387
XComet XXL,wmt19_ruen,Gemma 2 9B,MCNSE,Raw,0.3291158627770186
XComet XXL,wmt19_ruen,Gemma 2 9B,MCNSE,Detrended,0.3611335074442209
XComet XXL,wmt19_ruen,Gemma 2 9B,LSRL,Raw,0.271878408927325
XComet XXL,wmt19_ruen,Gemma 2 9B,LSRL,Detrended,0.2871355792412423
MetricX-XXL,wmt14_csen,Llama 3.1 8B,MSP,Raw,0.2145477605731123
MetricX-XXL,wmt14_csen,Llama 3.1 8B,MSP,Detrended,0.39600037732756665
MetricX-XXL,wmt14_csen,Llama 3.1 8B,PPL,Raw,0.4293837205662254
MetricX-XXL,wmt14_csen,Llama 3.1 8B,PPL,Detrended,0.4841096768215809
MetricX-XXL,wmt14_csen,Llama 3.1 8B,MTE,Raw,0.4749132755064228
MetricX-XXL,wmt14_csen,Llama 3.1 8B,MTE,Detrended,0.5368657984988543
MetricX-XXL,wmt14_csen,Llama 3.1 8B,MCSE,Raw,0.15690822671599486
MetricX-XXL,wmt14_csen,Llama 3.1 8B,MCSE,Detrended,0.2924309635788915
MetricX-XXL,wmt14_csen,Llama 3.1 8B,MCNSE,Raw,0.4227659830612571
MetricX-XXL,wmt14_csen,Llama 3.1 8B,MCNSE,Detrended,0.42483218356295216
MetricX-XXL,wmt14_csen,Llama 3.1 8B,LSRL,Raw,0.3945348402223537
MetricX-XXL,wmt14_csen,Llama 3.1 8B,LSRL,Detrended,0.3796513034046092
MetricX-XXL,wmt14_deen,Llama 3.1 8B,MSP,Raw,0.22471368018385024
MetricX-XXL,wmt14_deen,Llama 3.1 8B,MSP,Detrended,0.4218511225689821
MetricX-XXL,wmt14_deen,Llama 3.1 8B,PPL,Raw,0.4496920876625436
MetricX-XXL,wmt14_deen,Llama 3.1 8B,PPL,Detrended,0.47271756595770353
MetricX-XXL,wmt14_deen,Llama 3.1 8B,MTE,Raw,0.47661987173850395
MetricX-XXL,wmt14_deen,Llama 3.1 8B,MTE,Detrended,0.5143989232018757
MetricX-XXL,wmt14_deen,Llama 3.1 8B,MCSE,Raw,0.14009450492375244
MetricX-XXL,wmt14_deen,Llama 3.1 8B,MCSE,Detrended,0.2912301540660173
MetricX-XXL,wmt14_deen,Llama 3.1 8B,MCNSE,Raw,0.3779153531416084
MetricX-XXL,wmt14_deen,Llama 3.1 8B,MCNSE,Detrended,0.3796963924127393
MetricX-XXL,wmt14_deen,Llama 3.1 8B,LSRL,Raw,0.3544234494071448
MetricX-XXL,wmt14_deen,Llama 3.1 8B,LSRL,Detrended,0.3513979231759023
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,MSP,Raw,0.3133775944176267
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,MSP,Detrended,0.4362144666039458
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,PPL,Raw,0.4135414522747371
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,PPL,Detrended,0.48526593197862805
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,MTE,Raw,0.45893218590588136
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,MTE,Detrended,0.5379301701008689
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,MCSE,Raw,0.2024753363408694
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,MCSE,Detrended,0.3040694278901123
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,MCNSE,Raw,0.4044478748838261
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,MCNSE,Detrended,0.4323645692338883
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,LSRL,Raw,0.36583490918108896
MetricX-XXL,wmt14_ruen,Llama 3.1 8B,LSRL,Detrended,0.37608746545182586
MetricX-XXL,wmt14_fren,Llama 3.1 8B,MSP,Raw,0.19427739084106216
MetricX-XXL,wmt14_fren,Llama 3.1 8B,MSP,Detrended,0.30954734148017876
MetricX-XXL,wmt14_fren,Llama 3.1 8B,PPL,Raw,0.3190730336724598
MetricX-XXL,wmt14_fren,Llama 3.1 8B,PPL,Detrended,0.35664672495495475
MetricX-XXL,wmt14_fren,Llama 3.1 8B,MTE,Raw,0.3926666926172321
MetricX-XXL,wmt14_fren,Llama 3.1 8B,MTE,Detrended,0.434769278552827
MetricX-XXL,wmt14_fren,Llama 3.1 8B,MCSE,Raw,0.163122850981538
MetricX-XXL,wmt14_fren,Llama 3.1 8B,MCSE,Detrended,0.24622383984671084
MetricX-XXL,wmt14_fren,Llama 3.1 8B,MCNSE,Raw,0.3239985382898059
MetricX-XXL,wmt14_fren,Llama 3.1 8B,MCNSE,Detrended,0.3421394690891758
MetricX-XXL,wmt14_fren,Llama 3.1 8B,LSRL,Raw,0.3001731555789324
MetricX-XXL,wmt14_fren,Llama 3.1 8B,LSRL,Detrended,0.2945810464630152
MetricX-XXL,wmt19_deen,Llama 3.1 8B,MSP,Raw,0.2250884851388857
MetricX-XXL,wmt19_deen,Llama 3.1 8B,MSP,Detrended,0.40328110464505706
MetricX-XXL,wmt19_deen,Llama 3.1 8B,PPL,Raw,0.3900047065621488
MetricX-XXL,wmt19_deen,Llama 3.1 8B,PPL,Detrended,0.4043603411513156
MetricX-XXL,wmt19_deen,Llama 3.1 8B,MTE,Raw,0.4274812687997017
MetricX-XXL,wmt19_deen,Llama 3.1 8B,MTE,Detrended,0.4708649450634988
MetricX-XXL,wmt19_deen,Llama 3.1 8B,MCSE,Raw,0.14279602628312213
MetricX-XXL,wmt19_deen,Llama 3.1 8B,MCSE,Detrended,0.3179271354194409
MetricX-XXL,wmt19_deen,Llama 3.1 8B,MCNSE,Raw,0.3831082127621986
MetricX-XXL,wmt19_deen,Llama 3.1 8B,MCNSE,Detrended,0.38503571066275705
MetricX-XXL,wmt19_deen,Llama 3.1 8B,LSRL,Raw,0.3562436565756899
MetricX-XXL,wmt19_deen,Llama 3.1 8B,LSRL,Detrended,0.3477825602321154
MetricX-XXL,wmt19_fien,Llama 3.1 8B,MSP,Raw,0.08428189771095493
MetricX-XXL,wmt19_fien,Llama 3.1 8B,MSP,Detrended,0.4124445513870326
MetricX-XXL,wmt19_fien,Llama 3.1 8B,PPL,Raw,0.4818939043072037
MetricX-XXL,wmt19_fien,Llama 3.1 8B,PPL,Detrended,0.48235394010729216
MetricX-XXL,wmt19_fien,Llama 3.1 8B,MTE,Raw,0.5198475240993802
MetricX-XXL,wmt19_fien,Llama 3.1 8B,MTE,Detrended,0.5088181747425637
MetricX-XXL,wmt19_fien,Llama 3.1 8B,MCSE,Raw,-0.0016065487681357039
MetricX-XXL,wmt19_fien,Llama 3.1 8B,MCSE,Detrended,0.2949550677489686
MetricX-XXL,wmt19_fien,Llama 3.1 8B,MCNSE,Raw,0.39293692534839414
MetricX-XXL,wmt19_fien,Llama 3.1 8B,MCNSE,Detrended,0.3929999843800981
MetricX-XXL,wmt19_fien,Llama 3.1 8B,LSRL,Raw,0.31624372099202586
MetricX-XXL,wmt19_fien,Llama 3.1 8B,LSRL,Detrended,0.3330551440913323
MetricX-XXL,wmt19_lten,Llama 3.1 8B,MSP,Raw,0.1186858026958328
MetricX-XXL,wmt19_lten,Llama 3.1 8B,MSP,Detrended,0.38188861726903683
MetricX-XXL,wmt19_lten,Llama 3.1 8B,PPL,Raw,0.4344888631631551
MetricX-XXL,wmt19_lten,Llama 3.1 8B,PPL,Detrended,0.4361615599575989
MetricX-XXL,wmt19_lten,Llama 3.1 8B,MTE,Raw,0.48746150760977847
MetricX-XXL,wmt19_lten,Llama 3.1 8B,MTE,Detrended,0.48933416997186974
MetricX-XXL,wmt19_lten,Llama 3.1 8B,MCSE,Raw,0.06546519535236757
MetricX-XXL,wmt19_lten,Llama 3.1 8B,MCSE,Detrended,0.2881613515677722
MetricX-XXL,wmt19_lten,Llama 3.1 8B,MCNSE,Raw,0.43792700809119445
