model,method,wmt14_csen,wmt14_deen,wmt14_ruen,wmt14_fren,wmt19_deen,wmt19_fien,wmt19_lten,wmt19_ruen
eurollm,LSRL,0.289369388576396,0.34015992057012756,0.29955553355961073,0.27188604643743913,0.3057177435877247,0.3026860499566757,0.30675995994487265,0.196564512003171
eurollm,LSRL-LINE,0.285749030553591,0.34128710806978274,0.29863098291033063,0.27193788598062174,0.3042290393940263,0.316364692787877,0.30573081866994817,0.20738796529305115
eurollm,MCNSE,0.23039019928848517,0.33004206525243474,0.29455956145409207,0.22250682012306594,0.27595361353762804,0.32400122351921795,0.26413261855332093,0.2141300628365373
eurollm,MCNSE-LINE,0.20952019333773225,0.32679540019371445,0.28276396338384147,0.21427579409294706,0.25642018601510436,0.30441158623066666,0.2506280378683252,0.23373900893459149
eurollm,MCSE,0.19992344902846323,0.236851242847467,0.2827704342387031,0.16435274546200884,0.24741341516879606,0.09772297899375514,0.25358759684348325,0.27277411459326484
eurollm,MCSE-LINE,0.41747918627963587,0.4205264689386264,0.38919370883357,0.35989455369647594,0.40236502259988166,0.35727451447140135,0.3564031310189961,0.34318367457458654
eurollm,MSP,0.12700382512990865,0.22559679349277145,0.29687118150047254,0.11109451574567548,0.23033400228495907,0.040943163845878386,0.1549509011660918,0.28354586045070035
eurollm,MSP-LINE,0.32359139363080214,0.44352328238819305,0.44546590244963163,0.26516389283121744,0.42759413896403187,0.33866520171379744,0.31194635390086134,0.37891106931488583
eurollm,MTE,0.5410824113990269,0.5369597833860931,0.4767313544208524,0.45554973110456354,0.49780141610962986,0.48582598594548343,0.42394083864825444,0.36113171647000497
eurollm,MTE-LINE,0.5480760625003246,0.546957301086226,0.4699018119849414,0.4647862764381547,0.5124161123265054,0.4702348705053137,0.4667401094416379,0.4198125846980801
eurollm,PPL,0.5116119290639901,0.521115545177528,0.45357522426002017,0.4149389881059363,0.4806841454780032,0.4446047650798497,0.402737876232832,0.33443638790225294
eurollm,PPL-LINE,0.5153191335103722,0.5289613756477444,0.45752115457536285,0.41888923236120224,0.48328725170232084,0.43571946762928426,0.4226427303751648,0.3714311451009224
gemma,LSRL,0.34627293301714945,0.38299217962201315,0.3628012795189854,0.26359125518091653,0.36225217367285373,0.3387766817466965,0.3436729661315034,0.33533046778155207
gemma,LSRL-LINE,0.34647158813466866,0.3847488173301997,0.3664191890919645,0.26403013740208625,0.3583313796102604,0.3607088401717293,0.308912728857937,0.34298703927814317
gemma,MCNSE,0.38286385371253284,0.43089036627225524,0.402494513128116,0.3301084057838703,0.429129299681221,0.36280167581839434,0.3191150499782459,0.38112168888076786
gemma,MCNSE-LINE,0.3832919278968765,0.43034005526406904,0.41255875989100316,0.33313650708094805,0.43641309608783435,0.36366098932118146,0.31891306058891905,0.3971453412237721
gemma,MCSE,0.11043036660721543,0.15450863276785132,0.21331033586477557,0.12039230309261066,0.20092711545519598,-0.026988033407255686,0.17216936226905086,0.22853798916905285
gemma,MCSE-LINE,0.3076370325555125,0.35941875370017035,0.3281135577840669,0.27635624414683424,0.40062622084257793,0.26597296218259153,0.24542374647670306,0.35161022207245135
gemma,MSP,0.18910382031898135,0.21937044258876592,0.2879719813811583,0.13296958626545372,0.27889275202732866,0.057621920916927055,0.24074268132569707,0.26543926884820856
gemma,MSP-LINE,0.3923846472593016,0.4461927329826481,0.41203265998924177,0.2895651149760845,0.44603712122977707,0.3520860127194643,0.348526574657116,0.3864774138361482
gemma,MTE,0.4499607660775961,0.4749302851952612,0.41877060749996653,0.358881838921519,0.44045930678700396,0.4542775273396426,0.3353989707193578,0.35006489276103253
gemma,MTE-LINE,0.46338603484578,0.4947367268969127,0.4596160440536557,0.3707150082179784,0.46694326730361563,0.4460788738055472,0.37304794798571767,0.41376491640088653
gemma,PPL,0.4245027775029517,0.4711480119748819,0.40525993581904507,0.32557965810185086,0.41855422914325036,0.40768056204746056,0.330852150013128,0.34027811675889136
gemma,PPL-LINE,0.42910825963028265,0.4785788681526844,0.4274400894545415,0.3295557448846372,0.4269930151999155,0.40715860536573206,0.3419220043985734,0.3709505082195683
llama,LSRL,0.3945348402223537,0.3544234494071448,0.36583490918108896,0.3001731555789324,0.3562436565756899,0.31624372099202586,0.4160549461015525,0.31106989290061066
llama,LSRL-LINE,0.3796513034046092,0.3513979231759023,0.37608746545182586,0.2945810464630152,0.3477825602321154,0.3330551440913323,0.3982703640415839,0.3260555121087192
llama,MCNSE,0.4227659830612571,0.3779153531416084,0.4044478748838261,0.3239985382898059,0.3831082127621986,0.39293692534839414,0.43792700809119445,0.3236881315416644
llama,MCNSE-LINE,0.42483218356295216,0.3796963924127393,0.4323645692338883,0.3421394690891758,0.38503571066275705,0.3929999843800981,0.4378060184057857,0.3606491751660464
llama,MCSE,0.15690822671599486,0.14009450492375244,0.2024753363408694,0.163122850981538,0.14279602628312213,-0.0016065487681357039,0.06546519535236757,0.21288636066474342
llama,MCSE-LINE,0.2924309635788915,0.2912301540660173,0.3040694278901123,0.24622383984671084,0.3179271354194409,0.2949550677489686,0.2881613515677722,0.2746162551092833
llama,MSP,0.2145477605731123,0.22471368018385024,0.3133775944176267,0.19427739084106216,0.2250884851388857,0.08428189771095493,0.1186858026958328,0.2637615152781679
llama,MSP-LINE,0.39600037732756665,0.4218511225689821,0.4362144666039458,0.30954734148017876,0.40328110464505706,0.4124445513870326,0.38188861726903683,0.354657349628274
llama,MTE,0.4749132755064228,0.47661987173850395,0.45893218590588136,0.3926666926172321,0.4274812687997017,0.5198475240993802,0.48746150760977847,0.3558903496322687
llama,MTE-LINE,0.5368657984988543,0.5143989232018757,0.5379301701008689,0.434769278552827,0.4708649450634988,0.5088181747425637,0.48933416997186974,0.4543923396348868
llama,PPL,0.4293837205662254,0.4496920876625436,0.4135414522747371,0.3190730336724598,0.3900047065621488,0.4818939043072037,0.4344888631631551,0.31059656919040257
llama,PPL-LINE,0.4841096768215809,0.47271756595770353,0.48526593197862805,0.35664672495495475,0.4043603411513156,0.48235394010729216,0.4361615599575989,0.39595676292222504
