model,method,wmt14_csen,wmt14_deen,wmt14_ruen,wmt14_fren,wmt19_deen,wmt19_fien,wmt19_lten,wmt19_ruen
eurollm,LSRL,0.23011901685344402,0.28220870271019155,0.21782940809979828,0.22894775933975434,0.28345379491633965,0.2418297291577639,0.1809887016738711,0.18381014807763998
eurollm,LSRL-LINE,0.22910890345747367,0.2802183453336631,0.25802118979672284,0.22894404090975784,0.2839005029544851,0.26153568393056864,0.18469166099804046,0.2175335467687962
eurollm,MCNSE,0.19057394356766935,0.27707394738027824,0.2290597311379456,0.171044911137391,0.2591948357721238,0.30045605442979145,0.22494288899372542,0.21204330485697737
eurollm,MCNSE-LINE,0.18309130247687758,0.2809658334113987,0.28903403249679177,0.1733242923799533,0.2544144352785785,0.27617805720587013,0.19289214885237266,0.2581751744912333
eurollm,MCSE,0.18530660043926425,0.3053698011866548,0.34847931900174856,0.26309516256765547,0.30255049895491887,-0.00918382514083202,0.07966278203855363,0.33678585708259895
eurollm,MCSE-LINE,0.3074645476138914,0.3649494081970458,0.38292561971318356,0.3312275474337681,0.38448079332300317,0.27902900324863134,0.20045984852211696,0.32217678746504397
eurollm,MSP,0.13321774098202674,0.3081182631352261,0.3791069271308132,0.20532871800014857,0.26753748203546546,-0.027130416289667482,0.05758879657389561,0.3551658094709073
eurollm,MSP-LINE,0.2372819640765912,0.38401506584025846,0.42489471662519,0.24758726016984103,0.38334187295722433,0.26124777361941426,0.18900086225984897,0.3653914570148071
eurollm,MTE,0.4337246826060549,0.41732623167412114,0.3889944159080252,0.3454074425549853,0.430083762738799,0.448391650602249,0.38576162370850386,0.3222042364617473
eurollm,MTE-LINE,0.461600751657049,0.4624546265517517,0.510846538013669,0.4172405121276427,0.47252837979024215,0.4210825132871022,0.38072427624585703,0.43998505683203293
eurollm,PPL,0.39409779777154713,0.40499399875758046,0.37530305048974666,0.3277319240924205,0.4251876750896089,0.39730126954664835,0.33093575357351634,0.31387934880078583
eurollm,PPL-LINE,0.4117231880242297,0.4347292293270691,0.4993543671637666,0.37327909583827484,0.43698903343318923,0.38399555805630026,0.33631516707582493,0.3897047436839679
gemma,LSRL,0.2603731807893013,0.2998277438684456,0.3032637870373473,0.2041407784711054,0.27763536185733556,0.2916635330866386,0.186280277420674,0.271878408927325
gemma,LSRL-LINE,0.24530524413962668,0.28431749340812396,0.38269856040798106,0.19367474202279517,0.2618393780986261,0.3158667598618649,0.1639575179000452,0.2871355792412423
gemma,MCNSE,0.2778769453675052,0.33620367207037416,0.3255931763494626,0.2469436306212345,0.31780321683931717,0.288065084017937,0.18570671994349744,0.3291158627770186
gemma,MCNSE-LINE,0.27533604080606855,0.33276239392385304,0.4010768150640309,0.27172606257972215,0.3307407559042026,0.28900858813815933,0.18554995286183315,0.3611335074442209
gemma,MCSE,0.1472689925721333,0.2982886683967705,0.3377069743462151,0.2642390719774707,0.2747004497477272,-0.06962059485859162,0.08846689585202154,0.32321841726971035
gemma,MCSE-LINE,0.22994375020211424,0.3234806895432507,0.34077783284551166,0.25759979295655905,0.3331950182314506,0.19762179277045044,0.11688329712393233,0.32466481470318387
gemma,MSP,0.20305278975781113,0.35407566799380386,0.3909444623413618,0.27432676009771245,0.3435827600727535,0.0011029986748285069,0.14712441032203508,0.3494392744003449
gemma,MSP-LINE,0.2934352357561565,0.38267130461056337,0.38220342405731567,0.2916149654692624,0.37659335100265995,0.2866390015940686,0.21676280665477948,0.3349752974226339
gemma,MTE,0.3459567441101621,0.3266780871269261,0.28594373836647013,0.2547176138694805,0.32112895186564333,0.4152822021226535,0.29375108592832755,0.27127584098233554
gemma,MTE-LINE,0.3701072421684996,0.3828970840599332,0.4757122991395496,0.34251756751415213,0.36999993099089334,0.4025237261881218,0.3097465636453655,0.37434672167408917
gemma,PPL,0.31761426903116324,0.33800115250731944,0.2924038713492618,0.25123255215229445,0.33055658586122993,0.37275884522611663,0.2809295613709195,0.27282370990785176
gemma,PPL-LINE,0.33021051206369,0.36689161417432115,0.4481441614349548,0.30405845379218394,0.3467474779638654,0.3719753840038887,0.2839148315006509,0.32799052691518427
llama,LSRL,0.344976754619058,0.3527741795571511,0.29487107669279927,0.2686165687634166,0.29813769464391177,0.3038643667486836,0.3249304169482541,0.2970675247412659
llama,LSRL-LINE,0.32541477015295034,0.3059001732601771,0.37775445489510817,0.24178327191093013,0.250828157983166,0.33019380990710545,0.33573516305943907,0.3312062593160931
llama,MCNSE,0.359597256105276,0.3446252657383741,0.32046126874468006,0.2718218473301509,0.33499239859110175,0.38383519681332756,0.42536487890729313,0.322428976394008
llama,MCNSE-LINE,0.3621748602824839,0.3528797408597779,0.3946250142028316,0.313152363965649,0.3485898809413966,0.38312057251794834,0.42459964651121107,0.40053161414090854
